,Language Example,Language index
1458,"Сэрва́нт (па-нямецку: Anrichte, па-ангельску: Sideboard, па-француску: Crédence) — шафа для посуду і",be-tarask
1459,"Iha tinan ikus hirak liu ba, povu Timór-Leste hetan rezultadu impresivu partikularmente iha dezenvol",tet
1460,"Com a anexação do território pela Indonésia, o uso do português foi proibido, impondo-se o bahasa da",tet
1461,"Su lagu Omodeu est unu lagu artifitziale de sa Sardinna. S’agatat in sa provìntzia de Aristanis, in ",srd
1462,Some critics of inclusive democracy ask what guarantees an inclusive democracy may offer in ensuring,eng
1463,एखन धरि श्रुति प्रकाशनसँ कुल 100सँ बेसी पोथी छपि चुकल अछि। किछु पोथी अंग्रेजी भाषामे सेहो अछि जे कि ,mai
1464,"Dae su 1960 a su 1975, est crèschidu meda su nùmeru de sas ikastolas. In su 1965 ant legalizadu sa p",srd
1465,Manutasi (iha lia-portugés: Manutaci) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administ,tet
1466,ในปี 1634 โชกุนโทกุงะวะ อิเอะมิสึ มีคำสั่งให้สร้างเกาะเทียมขึ้น เพื่ออำนวยความสะดวกให้กับพ่อค้าชาวโป,tha
1467,Майданыны ёлчеми 22 400 000 квадрат километр болгъан Совет Союз дунияны эм уллу къралы болгъанды. Дж,krc
1468,"Indlela emile ngayo imithi itshintshe ngokwahlukeneyo kwintlobo zezityalo ezingazalaniyo, kwimpendul",xho
1469,1945 джылны 8-чи майында Германияны сауутлу кючлерини капитуляциялырыны юсюнден актха къол салыннган,krc
1470,छिन्नमस्ता भगवती सप्तरी जिलाकऽ राजविराज सँ दक्षिण सीमावर्ती क्षेत्र छिन्नमस्ता कऽ सखडा गाममे परैत अछ,mai
1471,"Міхаіл Кантанцінавіч Сяўрук (27 лютага 1905, Варшава — 14 сакавіка 1979, Нясьвіж) — беларускі мастак",be-tarask
1472,Valtsjev vant en olympisk sølvmedalje i volleyball under OL 1980 i Moskva. Han var med på det bulgar,nob
1473,Каменны лес востраву Лесбас зьяўляецца асаблівым і не падобным на іншыя аналягічныя прыродныя аб’ект,be-tarask
1474,ตัว ห เมื่อเป็นตัวนำอักษรเดี่ยว ไม่ต้องออกเสียงคนละครึ่งเหมือนอักษรนำอื่น ๆ แต่ให้ออกเสียงประสมกันสน,tha
1475,Inxalenye yeedolophu ziidolophu zomsebenzi wezimbiwa. Abantu bahlala phaya kuba bayakwazi ukwenza im,xho
1476,"Mancari chi, oje in die, in su mundu otzidentale sa fardetta siat bistimenta femenina, in passau non",srd
1477,Пышня́нскі сельсавет — былая адміністрацыйна-тэрытарыяльная адзінка ў складзе Лепельскага раёну Віце,be-tarask
1478,Su liberalismu est sa teoria polìtiga e sa filosofìa de sa libertadi. Storicamenti su liberalismu na,srd
1479,Amazwe amanizni anemizila yeefowuni. Kumazwe asakhulayo ii’’cell phones’’ zisetyenziswa njengeyona n,xho
1480,Europa toba iha norte Áfrika nian no loro-monu Ázia nian. Oseanu Atlántiku toba iha loro-monu Europa,tet
1481,"У 1949 у мясцовую парафію прыбылі марыяне, і Ліхень стала адным з найбуйнейшых месцаў паломніцтва ў ",be-tarask
1482,"Marie Watt was born in 1967 in Seattle, Washington. She majored in art and communications at Willame",eng
1483,"Bussy-Saint-Georges (pronounced [bysi sɛ̃ ʒɔʁʒ]) is a commune in the eastern suburbs of Paris, Franc",eng
1484,"Iha tempu Indonésia nia ukun povu tomak sadere metin ba Igreja Katólika hodi funu hasoru Indonésia, ",tet
1485,Sa limba ausiliare internatzionale Ido fit creada in 1907 comente un'Esperanto reformadu. Ido tenet ,srd
1486,Fatubolu (iha lia-portugés: Fatubolo) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administ,tet
1487,Фашист и нацист идеологияла Нюрнберг процессде адамгъа къаршчы саналгъандыла эмда джасакъланнгандыла,krc
1488,"โครงการนี้ คาดว่าจะมีผู้ใช้บริการ 35,000 คนต่อวัน จะทำให้ผู้ใช้รถส่วนตัวบนเส้นทางหันมาใช้ระบบบีอาร์ท",tha
1489,RAFFEYSOD – Januar 1985 – et band ved navn «The Raffeys» skal angivelig ha forsøkt å få oppmerksomhe,nob
1490,"I videospillet Tony Hawk's American Wasteland, som har handling fra Los Angeles i California, opptre",nob
1491,Under innlandsisens tilbaketrekking ble det lagt igjen mange israndlinjer mellom ytre Oslofjord og M,nob
1492,"1939 джылны 23-чю майында Гитлерни кабинетинде, бютеу мийик абычарлада къошулуб джыйылыу болгъанды. ",krc
1493,1941 джылны 30-чу сентябрында немча аскерле Москвагъа алгъа джюрюшню башлайдыла. Немча танка бирликл,krc
1494,Often the tropical species are especially threatened by habitat destruction and overexploitation. At,eng
1495,"Нарадзіўся ў сям’і мастакоў. Жыў ў Рагачове, Магілёве. У дзесяцігадовым узросьце пераехаў у Менск, в",be-tarask
1496,สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารีทรงพระราชนิพนธ์ร้อยกรองขึ้นมาชิ้นหนึ่งในลักษณะของโคลง เพื่อ,tha
1497,"Danmark omfattet lenge begge landsider av sundet, og krevde i flere hundre år avgift av alle forbipa",nob
1498,"Thomas Richard ""Tom"" Hamilton Jr. (born December 31, 1978, in Philadelphia, Pennsylvania) is an Amer",eng
1499,Ii-dimensions zisenokusetyenziswa kumlinganiselo wendawo emi kuyo (ebizwa ngokuba yi-position) loo n,xho
1500,У складзе зборнай Расеі Васіль удзельнічае ў чэмпіянатах сьвету з 2007 году. Разам са зборнай станав,be-tarask
1501,ภาพนิชิกิ (ญี่ปุ่น: Nishiki-e 錦絵 ?) - เป็นวิธีการพิมพ์ที่ใช้แม่แบบหลายแม่แบบที่แต่ละแม่แบบก็สร้างขึ้,tha
1502,Ызындан келген джыллада бу система тюзетилгенди. Бухара эмда Хорезм республикала ССР статусха дери к,krc
1503,गोकुलगंगा गाउँपालिका रामेछाप जिलामे अवस्थित अछि । वि.सं. २०७३ सालमे सङ्घीय मामिला तथा स्थानीय विकास ,mai
1504,पलक मुच्छल (जन्म : ३० मार्च १९९२) एक भारतीय पार्श्व गायिका छी । पलक आर हुनकर छोट भाई पलाश मुच्छल भार,mai
1505,Cycolor is a tradename for a (possibly obsolete) color printing process that uses a special film coa,eng
1506,In tzertas biddas de s'isula (in Logudoro e in Campidanu) sa leze calicunu l’aiat accolta cun s’ispe,srd
1507,"Informátika iha nia konseitu baze, teória no dezenvolve iha nia aplikasaun rasik. Informátika bele a",tet
1508,Джэймз згуляў 7 матчаў за моладзевую зборную Паўночнай Ірляндыі. 26 ліпеня 2011 году ён быў выклікан,be-tarask
1509,"Uphawu oluthiHg lumele igama layo lesiLatini isiGrike i-hydrargyrum, elintsingiselo yalo ibhekiselel",xho
1510,ตร๊านซ์ เตเว (Trans TV) ชื่อเต็ม Televisi Transformasi TRANS Indonesia (ชื่อเต็มของภาษาไทย คือ สถานี,tha
1511,بدھ مت وچلیاں کئی گلاں جویں:- جیون دکھاں دا گھر اے، اگیانتا دکھاں دا کارن اے، من دا شدھ ہون ضروری اے,pnb
1512,"Бу закон бантустанлада энчи правительствола къурайды, анда къара африканлыланы сайлау хакълары болгъ",krc
1513,"ข้าวเหนียวมะม่วงมีแคลอรีสูง ถ้ากินขณะเป็นโรคกระเพาะอาหาร, ม้ามพร่อง หรือระบบย่อยอาหารบกพร่อง จะท้องอ",tha
1514,"Showdown in Crescent Valley, 2003: Cover story about the 30-year battle of two Western Shoshone gran",eng
1515,A small Ministry of Defence (which was renamed the Ministry of Defence and Security in 2007) was est,tet
1516,"सेन्ट मेरिज स्टेडियम, इ इंग्ल्याण्ड के साउथह्याम्पटन नगर, में स्थित एक फुटबल स्टेडियम छी। इ साउथह्या",mai
1517,"Ii-Aerobic organisms zeentaka, izilwanyana ezanyisayo, kunye nezirhubuluzayo – zifuna i-oxygen ukuze",xho
1518,Nurep (Nucleos de Resistencia Popular) Nurep nudar organisasaun klandestina nebe hahu moris iha tina,tet
1519,"Мю́зикл (ингил. Musical) (башха аты музыкалы комедияды) — музыкалы сахна чыгъармады, анда диалогла, ",krc
1520,"नेपालक वि.सं. २०६८ क जनगणना अनुसार विद्यापुरक जनसङ्ख्या ६,४१४ अछि । जाहिमे १,३१० घरमूली अछि । ई स्था",mai
1521,Нарадзіўся ў Брэшыі. Сапраўднае прозвішча — Фантана. Бацьку свайго ён зваў па імені Мікелета. У 1512,be-tarask
1522,फिल्म बनावे क लालसा अनुराग कश्यप क जून १९९३ मे जेब मे ५०००-६००० रुपैया के साथ मुम्बई खींच ले आएल। मु,mai
1523,"His fourth team at Murray State won more games than any in school history, reaching the second round",eng
1524,"Акрамя, натуральна, пошуку па словах, Google падтрымлівае іншыя карысныя функцыі: сынонімы, прагнозы",be-tarask
1525,"पतञ्जलि योगसूत्रक रचनाकार छथि जे हिन्दूसभक छः दर्शन ( न्याय, वैशेषिक, सांख्य, योग,मीमांसा, वेदान्त)म",mai
1526,The city has benefited from one of the most significant growths in France. The population has multip,eng
1527,iDolophi le Ifumaneka eMpumakolonini kwinxweme (Queenstown). yiDolophi encinene kakhulu apho unokufu,xho
1528,"Industria kiik iha postu administrativu refere mak dulas hare, dulas batar, halo kripik, homan luhu ",tet
1529,OkaViljoen unconywa kakhulu ngabantu abathile ngegalelo lakhe elakhokhelela ekubeni abamhlophe bayam,xho
1530,"Hatu-Builiku (Hatu-Builico) postu administrativu ida iha munisípiu Ainaru, Timór Lorosa'e nian. Ho p",tet
1531,"Афіцыйнай мовай правінцыі Антвэрпэн зьяўляецца нідэрляндзкая мова ці, дакладней кажучы, флямандзкі я",be-tarask
1532,"Бютеу дуниялада ишлеген халкъла арасы персоналды, ала организацияны тюрлю-тюрлю кюнлюк ишлерин тынды",krc
1533,کیمسٹری اک سائینس لئی 17ویں تے 18وین صدی وج اگے ائی جدوں تجرے تے ایدی نیو رکھی گئی۔ رابرٹ بوائل، ہمف,pnb
1534,"Па вяртаньні на Радзіму быў пры двары караля і вялікага князя Жыгімонта Вазы, дзе ў 1632 годзе страц",be-tarask
1535,ความเป็นอยู่ของมนุษย์ในทวีปทั้ง 3 ยกเว้นชมพูทวีป มีความเป็นอยู่ที่สุขสบาย มีสิ่งแวดล้อมที่สะอาดบริสุ,tha
1536,Serelau (iha lia-portugés: Serelau) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administra,tet
1537,"The earliest records state that the Mersey ferry began operating from Birkenhead in 1150, when Bened",nob
1538,"S'Atollu Palmyra, naradu incurtzadu Palmyra, est unu atollu postu in s'Otzèanu Patzìficu setentriona",srd
1539,अवहट्ठ : उद्भव ओ विकास विख्यात मैथिली भाषा साहित्यकार राजेश्वर झा द्वारा रचित एक साहित्येतिहास छी जे,mai
1540,چک 18 گجیانی ضلع بہاولنگر دی تصیل چشتیاں دا اک پنڈ اے ۔ ایہہ پنڈ دی بھوئیں نوں پانی ایسٹرن صادقیہ نہ,pnb
1541,اک میان دو تلواراں نانک سنگھ دا لکھیا اک پنجابی ناول ہے۔ اس ناول اتے نانک سنگھ نوں 1962 وچ ساہت اکاد,pnb
1542,"In prus de custu, at totalizadu 76 presèntzias e 12 golos in sa sèrie B cun sas camisetas de s'Atala",srd
1543,"In s'òpera de Weber, a sa cuntrària, s'interessu prus mannu no fiat su fatu ca s'atzione de sos òmin",srd
1544,"Samme dag ga paven Clemens V også avlatsprivilegium for de 14 kongelige kapellene, til å ettergir he",nob
1545,"ทิศใต้ จากหลักเขตที่ 3 เลียบฝั่งเหนือคลองลาดหลุมแก้ว ไปทิศตะวันตกเป็นระยะทาง 5,400 เมตร ซึ่งเป็นหลัก",tha
1546,گردیال سنگھ ابھنندبھ گرنتھ، ساہت اصول (طالب ابھنندن گرنتھ)، شردھانجلی (مرحوم ڈاکٹر۔ کرمجیت سنگھ نوں،,pnb
1547,"Han er også opphavsmann til Russells paradoks i mengdelæren, et paradoks som bygger på egenskaper ve",nob
1548,"Skottland består av den nordlige tredjedelen av øya Storbritannia, og ligger i nordvestlige hjørnet ",nob
1549,"Tsjekkias president er statsoverhode, men har liten formell makt. Presidenten velges ved direktevalg",nob
1550,"Bertrand Arthur William Russell, den 3. jarl Russell (født 18. mai 1872, død 2. februar 1970) var en",nob
1551,Hun deltok i Verdensmesterskapet i turn 2006 i Århus i Danmark og i Verdensmesterskapet i turn i Stu,nob
1552,"At the May 2013 I/O developers conference in San Francisco, Page delivered a keynote address and sai",eng
1553,(1964 г.) Камандзірскі Т-62 з радыёстанцыяю Р-130. Дадаткова ўсталявана навігацыйная апаратура ТНА-2,be-tarask
1554,ในเดือนพฤศจิกายน พ.ศ. 2466 พวกนาซีได้ก่อการกบฏที่เรียกว่ากบฏมิวนิกหรือกบฏร้านเบียร์ (Munich Putch; B,tha
1555,"1793 джылда Францияда литр Республикан конвент бла къабыл этилиб, джангы «Республикан ёлчем биримлен",krc
1556,I 1996 ble Skottland delt inn i 32 rådsområder for lokalstyring. Disse er felles myndigheter for all,nob
1557,Laku (naram sientífiku: paradoxurus hermaphroditicus) ne'e balada mamíferu fuik ida ne'ebé ita bele ,tet
1558,นอกจากนั้นแล้ว ศ.(พิเศษ) ดร.กิตติพงษ์ กิตยารักษ์ เป็นอาจารย์พิเศษคณะนิติศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,tha
1559,من مائل (ਪੰਜਾਬੀ: ਮਨ ਮਾਇਲ‎) ; (پہلاں اس دا ناں تیرا غم اور ہم اتے پھر دل-اے-جانم وی رکھیا گیا سی۔) اک,pnb
1560,On 29 January and 14 May 2013 RISCOS Ltd was listed in the London Gazette: on 14 May 2013 it was str,eng
1561,"हिनकर दू टा पोथी “ओकरा आँगनक बारहमासा” आ “काठक लोक” ललित नारायण मिथिला विश्वविद्यालय, दरभंगाक मैथिली",mai
1562,1364 джылда Фолькунгланы династиясындан ахыр швед король Магнус Эрикссон (ол заманда огъунакъ Норвег,krc
1563,"Margaret ""Maggie"" Lawson (Louisville, Kentucky, 12 de austu de su 1980) est una attrici stadunitensi",srd
1564,भगत सिंह कोश्यारीक जन्म १७ जून १९४२ कऽ उत्तराखण्डके कुमांऊँ क्षेत्रक अल्मोड़ा जिलाक एक गॉंउमे भेल छल,mai
1565,ประเทศนิวซีแลนด์ เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูหนาวครั้งที่ 18 ค.ศ. 1998 (พ.ศ. 2541) ณ เมืองนากาโน ป,tha
1566,Amanzi abobona bumanzi buxhaphakileyo apha emhlabeni. Ubuninzi bamanzi bungama-71% emhlabeni. Amanzi,xho
1567,"Сез ючюн Джерни къатында Джерге тюшген зат, хауаны къаршчыланыуун санамасакъ, кесини терклигин хар с",krc
1568,"युनाइटेड किङ्गडम एक संवैधानिक राजशाही आ एकात्मक राज्य छी जहिमे चार देश शामिल अछि: इङ्ल्यान्ड, उत्तरी",mai
1569,زحل نوں سب توں پہلاں پرانے ویلیاں چ اکھ توں ویکھیا جاندا سی۔ بابلی تارہ گروواں نے ایہدی ٹور دے حساب ,pnb
1570,"Sa carriera sua otenet un’àtera impuntza in su 1991, cando est essida sa regorta de 17 branos musica",srd
1571,"Iha tinan 2006, sira komesa grava materia ba sira nia album foun Linkin Park, maka ""Minutes To Midni",tet
1572,Wayengumntu owayenqwenela ukuba ngugqirha esemncinci. Baza ke abazali bakhe boyiswa kukungabinazints,xho
1573,"Hensynet til ressursknapphet er hovedgrunnene til å bruke gjenstander og konsepter på nytt, men i sv",nob
1574,"Байрым кюнню ингилизча аты — Friday — буруннгу ингилизча Frīġedæġ дегенден келеди, магъанасы да — «Ф",krc
1575,"1993 джылны 10-чу апрелинде кесини юйюню босагъасында, Боксбургда КъАР-ни Коммунист партиясыны генер",krc
1576,Varkala er det eneste stedet sør i Kerala hvor klippene stiger opp fra Det arabiske hav. Klippenes f,nob
1577,"According to one account, Hearst and the Harrises (now the only survivors of the SLA unit that abduc",eng
1578,Elinye igama lala manani kuthiwa angamanani a-positive. ngamanye amaxesha laa manani abhalwa njengo-,xho
1579,سویٹزرلینڈ وچ کئی پنچھیاں دیاں ونڈاں نیں۔ سویٹزرلینڈ دیاں جھیلاں تے دریا پانی پنجھیاں دیاں ودھیا تھا,pnb
1580,"Аламда къызыл тебию - хар узакъ затда да билиннген (жулдуз низамла да, мырытла да) къармлыкъ жайыуну",krc
1581,6 верасьня 1918 Фабіян Абрантовіч разам зь біскупам Лазінскім адправіў у Менску першую імшу зь белар,be-tarask
1582,"भारतीय आम चुनाव, २०१४ भारतमे सोलहम लोक सभाक लेल आम चुनाव ७ अप्रैल सँ १२ मई २०१४ धरि ९ चरणमे भेल । मत",mai
1583,"Leytron is home to the Bibliothèque communale library. The library has (as of 2008) 7,800 books or o",eng
1584,رالف رانڈلس سٹیورٹ 15 اپریل 1890 نوں نیو یارک شہر امریکہ وچ جمیا۔کولمبیا یونیوسٹی نیویارک توں پی ایچ,pnb
1585,جارج واشنگٹن پل امریکہ دے شھر نیو یارک وچ اک پل اے۔ ایہ ہڈسن دریا اتے اے۔ ایہ مینہیٹن نوں برگن کاؤنٹ,pnb
1586,In court Hearst made a poor impression and appeared lethargic; according to an Associated Press repo,eng
1587,"Ifonetiki (upelo /ifonetiki/, livela kwisiGrike: isandi, ilizwi) lisebe lofundo ngeelwimi eliquka uf",xho
1588,"Дуна́й (рум. Dunărea, мадж. Duna, нем. Donau, хорв. Dunav, словак. Dunaj, болг. Дунав, серб. Дунав, ",krc
1589,The cultural association Friends of Skyritida opened a folklore museum in Kollines in 1997. Located ,eng
1590,เนื้อเรื่องของภาคกันดั้มวิง เอนด์เลสวอลซ์ได้เปิดเผยว่าเดิมทีนั้นกลุ่มตระกูลบาร์ตันได้เตรียมใช้กันดั้,tha
1591,Isifundo sefonetiki sisifundo esiyimimango ngemimango esigxile kwintetho. Malunga neelwimi ezithethw,xho
1592,انتظامی طور اتے فنلینڈ 19 ریجناں یاں علاقےآں چ ونڈیا ہویا اے ، جنہاں نوں فن بولی چ مآکنتا تے سونسکا ,pnb
1593,30 красавіка 1918 накіраваны Адміністратарам Магілёўскае архідыяцэзіі біскупам Эдвардам фон Ропам у ,be-tarask
1594,Ved uavhengigheten i 1991 og de påfølgende årene ble en rekke statsselskaper privatisert. Det statli,nob
1595,"Su 17 austu 2011 binchet sa Super-copa ispagnola contra de su Real Madrid. Annotamala, divenit su mè",srd
1596,"Stuhler, Barbara. ""Organizing for the Vote: Leaders of Minnesota's Woman Suffrage Movement,"" Minnes",eng
1597,"On August 3, 2010, MGM Home Entertainment released Escape From New York as a bare-bones Blu-ray. Scr",eng
1598,This Is Reggae Music: The Golden Era 1960-1975 is a reggae retrospective anthology issued as a 4-CD ,eng
1599,"Xa kusongezwa i-complex number kwenye, ngamanye amazwi xa kudityaniswa ii-complex numbers ezimbini, ",xho
1600,แดนอรัญมีชื่อจริงว่า เสน่ห์ สังข์สุข เกิดเมื่อปี พ.ศ. 2500 ที่อำเภอเมือง จังหวัดเพชรบุรี ในวัยเยาว์อ,tha
1601,"Ertestuing er en matrett (stuing) bestående av tørkede grønne erter, smør, hvetemel, salt og sukker.",nob
1602,Sa Giamàica (in inglesu Jamaica /dʒəˈmeɪkə/) est unu istadu insulare chi s'agatat in su mare de is C,srd
1603,"Goldsmith ble beskrevet av sine samtidige som tilbøyelig for misunnelse, en likeartet, men oppfarend",nob
1604,Ifowuni sisixhobo esisebenza ngeentambo zombane. Ifowuni isebenza ngokuthi abantu ababini bekwiindaw,xho
1605,У другой палове XIX стагодзьдзя пачынаецца паступовае ажыўленьне эканомікі места. У 1875 року правед,be-tarask
1606,دسمبر 1901 وچ اوہنے اپنا ناں لینن رکھیا۔ میونخ وچ ای اوہدی ٹبری اپنی سزا کٹ کے اوہدے نال آملدی اے۔ د,pnb
1607,"Ngamanye amaxesha uloliwe akanayo igutsi ehamba yodwa, kodwa eyona ntloko ihambayo (injini yedisile ",xho
1608,تیلُگو وِچّ سولاں سوَر اکّھر ہُندے ہے جس وِچّ ہر اِک دا سوتنتر رُوپ ہُندا ہے تے وِئنجن دے نال بھیدسو,pnb
1609,"Inclusive Democracy as a political project for a new libertarian synthesis : rationale, proposed soc",eng
1610,"I-Mathematics sisifundo sokufunda ngamananiekubalwa ngawo, ngee''ndlela ezimile ngayo izinto'' nange",xho
1611,She was now recognised as a prominent young poet and the Polish National Radio offered her a job to ,eng
1612,Совет Союзну эм узун сууу Иртыш джетеги бла Обь болгъанды (5410 км). Эм мийик тауу — Таджикистанда К,krc
1613,พระมหากัจจายนะเกิดในตระกูลพราหมณ์ตระกูลหนึ่งในกรุงอุชเชนี ได้รับการศึกษาในทางไตรเพทเวทมนตร์ตามอย่างต,tha
1614,"2001 джылны январында Джимми Уэйлс бла Ларри Сэнгер ачхан, Википедия бусагъатда Инернетде эм уллу эм",krc
1615,بھارتی پارلیمنٹ دے دو ہاؤس ہن ، لوک سبھا جس وچّ 545 میبراں ہندے ہن ۔ 543 میبراں دا چناو پنج سال دے ل,pnb
1616,"At about the same time as the AT&T Building, Johnson and Burgee completed other remarkable postmoder",eng
1617,26 красавіка 1919 году створаны ў складзе Рэчкаўскай (з 9 траўня 1923 году — Сьвяцілавіцкай) воласьц,be-tarask
1618,لینن نوں دو واری قتل ہون توں بچیا۔ پہلی واری 14 جنوری 1918 نوں پیٹروگراڈ وچ جدوں اوہ اک تقریر کرکے و,pnb
1619,"In 2008, Shealy worked on the campaign of State Senator Catherine Ceips. Tom Davis, the former chief",eng
1620,"Kantiga Mininu di kriason (liafuan husi José Carlos, 1973) mosu iha kalan ida de’it nia laran, duran",tet
1621,کیہا جاندا اے کہ اس گمبد وچ کسے وی نقرے کوئی ہولی جہی آواز وی مونہوں کڈھے جاں کوئی گلّ کرے تاں اوہ پ,pnb
1622,"Ngo1979 nango1980, uKekana waphumelela into eyayisaya kwaziwa njengeMbasa SABC Black Music Award yen",xho
1623,"For rundt 11 700–11 200 kalenderår siden stanset tilbaketrekkingen av innlandsisen midlertidig opp, ",nob
1624,جنوری 1897 وج جدوں اوہ ڈربن آیا تے چٹے واسیاں دی اک ٹولی نے اوہدے تے ہلہ بول دتا تے اوہ اک پولیس سپر,pnb
1625,Калі ў адказ на імітаваньне пачатку выкананьня коду праграмы перад яе запускам тая выкарыстоўвае зьм,be-tarask
1626,"У 1935 годзе, у 13-гадовым узросьце, вырашыў стаць псыхіятрам пасьля прачытаньня кнігі аб Зыгмундзе ",be-tarask
1627,Як ягадная культура вядомы на тэрыторыях усходніх славян з XI стагодзьдзя. Набыў шырокае распаўсюджа,be-tarask
1628,"In s’istade de su matessi annu, Idir at fatu, comente solista, unu giru de cuntzertos in Frantza. Su",srd
1629,Уллу ачлыкъ (орус. Великий голод) — Борис Годуновну башчылыкъ этиу заманында Москова къралны европал,krc
1630,Дасьледваў гісторыю Беларусі ХІХ — пачатку ХХ стагодзьдзяў: праблемы працоўнага і сацыял-дэмакратычн,be-tarask
1631,Скончыла Сымфэропальску школу мастацтваў по спэцыяльнасьці «музычнае майстэрства і харэаграфія»; Кіе,be-tarask
1632,การก่อสร้างบาซิลิกาอาจจะเริ่มขึ้นราว ค.ศ. 1235 สิบเก้าปีหลังจากการเสียชีวิตของนักบุญแอนโทนีแห่งปาดัว,tha
1633,"नेपालक वि.सं. २०६८ क जनगणना अनुसार आग्रीगाउँक जनसङ्ख्या २,७०७ अछि । जाहिमे ५०९ घरमूली अछि । ई स्थानक",mai
1634,"A livellu individuale at bintu medas tìtulos, de is àteros: capocannoniere e Bòcia de oro a su Mundi",srd
1635,Lú-Olo adalah Presiden Parlemento Nasional Timór Lorosa'e dan Presiden Fretilin dan saat ini sedang ,tet
1636,ہجویری یونیورسٹی لہور پنجاب پاکستان دا تعلیمی ادارہ اے۔ اے یونیورسٹی اک خود مختار ادارہ اے۔ ایس یونی,pnb
1637,Sa colonizazione de su Salzburg torrat a tempos preistòricos. Su nùmene antigu est de origine cèltic,srd
1638,"Sergio Leone (Roma, 3 de ennalzu 1929 – Roma, 30 de abrile 1989) est istadu unu regista cinematograf",srd
1639,"Прадстаўнік шляхецкага роду Нямцэвічаў гербу «Равіч». Навучаўся ў Берасьцейскім езуіцкім калегіюме, ",be-tarask
1640,"Iha fulan Abríl, tinan 1974, forsa militár sira kaer poder fali iha golpedestadu ida, ne'ebé naran R",tet
1641,जन्म १० जुलाई १९५० ई. गाम- कोइलखमे। अभियंत्रणक अध्ययण छोड़ि मार्क्सवादी राजनीतिमे सक्रिय। अनेक कविता,mai
1642,"Suku Lahane Munu iha aldeia rua mak hanesan: Ainitas Hun, Bedois, Bela Vista, Care Laran, Correio, G",tet
1643,پرنسیپیا میتھمٹیشیا انگریز سینسدان آئیزک نیوٹن دی سائینس تے لکھی اک کتاب اے۔ ایہدا پورا ناں (Philoso,pnb
1644,"گوریلا یونانی بولی دا شبد اے جیدا مطلب اے ""والاں والیاں زنانیاں دا قبیلہ""۔ ایہ ناں دو امریکیاں تھامس",pnb
1645,"Бир къауум къраллада (сёз ючюн, Американы Бирлешген Штатлары) президент, келечилик функциялары болгъ",krc
1646,"Возера знаходзіцца ў басэйне ракі Тураўлянка. Плошча Лешны складае 0,3 км². Найбольшая глыбіня возер",be-tarask
1647,"Джер тюбюне кирген джеринден, 12 километр къыбылагъа, Дунай уруб джер башына чыгъады. Былайда Герман",krc
1648,Én av ca. 80 fødsler hos mennesket er tvillingfødsler. Omkring 25 prosent av tvillingpar er eneggede,nob
1649,Kailete Leotela (iha lia-portugés: Coilate-Letelo) suku ida iha Timór Lorosa'e nian. Suku ne'e iha p,tet
1650,"Perks Ligoya (født 1959) er en malawisk økonom, som var sentralbanksjef for Malawis sentralbank fra ",nob
1651,"Першыя прэміі на конкурсе вакалістаў у межах міжнароднага фэстывалю «Магутны Божа» (Магілёў, Беларус",be-tarask
1652,Triloca (iha lia-portugés: Triloca) suku ida iha Timór Lorosa'e nian. Suku ne'e iha postu administra,tet
1653,ई-सेवा नेपालक पहिल अनलाईन भुक्तानी माध्यम छी । ई एफ१ सोफ्ट इन्टरनेसनल कम्पनीद्वारा प्रदान कएल गेल से,mai
1654,मिथिलाक विकासक लेल ओकरा जमीनी लीडरसिप चाही |एहन एहन ग्रुप बनय जे ग्रुप मिथिलाक सुदूर देहात मे घुमि ल,mai
1655,Liafuan kantiga sira-nian iha dalen krioulu no informasaun barakliu iha testu ne’e ami hetan iha liv,tet
1656,"Glaser has written for the London Review of Books, New Statesman, and Times Higher Education. She ha",eng
1657,"Columbia High School is a four-year comprehensive regional public high school in Maplewood, New Jers",eng
1658,พระที่นั่งไอศวรรย์ทิพยอาสน์ เป็นพระที่นั่งที่สมเด็จพระเจ้าปราสาททอง ทรงพระกรุณาโปรดเกล้าฯ ให้สร้างขึ,tha
1659,"Following the album’s release, in January 2016 the live band embarked on a US tour with the Southern",eng
1660,"100,000 توں ود لیندا پدھری تھاں گوریلے جنگل وچ تے 4,000 چڑیا کراں وچ نیں۔ 4,000 چڑھدے پدھری تھاں گور",pnb
1661,"Abacuphi basebenza ngophando olunzulu. Bazama ukufumana ubuqhetseba, iziyobisi ezingekho semthethwen",xho
1662,"Бусагъатда генерал директор, Генерал конференция бла тёрт джылда бир кере сайланады. Алгъада алты дж",krc
1663,Агломерацияны аты картада агломерацияны формасы 60 километрлик радиусулу тёгерек болгъаны ючюн берил,krc
1664,"Jacques Prévert (Neuilly-sur-Seine, 4 de frealzu 1900 – Omonville-la-Petite, 11 de abrile 1977) est ",srd
1665,तीनपाटन गाउँपालिका सिन्धुली जिलामे अवस्थित अछि । वि.सं. २०७३ सालमे सङ्घीय मामिला तथा स्थानीय विकास म,mai
1666,"Мукден инцидентден сора Квантун аскер къаршчыланыу сезмей Маньчжурияны кючлейди, алайда бойсуннган М",krc
